# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 7000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O  I-IV, C  I-IV, N  I-V, Si I-IV, Mg I-IV, S  I-IV, Ne I-IV, Ar I-IV
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: no restrictions
# Transition types included: nebular
# Transitions from auto-ionizing levels: included
# Comment code: Em -> observed in emission
# REFERENCE PAPER: https://ui.adsabs.harvard.edu/abs/2004MNRAS.355..229E/abstract

wl_air	   , dlamb  , spc     , tt, configuration  , term   , J_i-J_k           , -lg(gf) , tpf, level_energy(cm-1)   , ref    ,  name, comment
5806.566   , 1.9e-02,  He II  , E1,      5*-36*    ,   5-36 , 1/2-9/2 - 1/2-71/2,  -1.9829,  28, 421353.16 - 438570.23, 007    ,      ,
5813.193   , 1.9e-02,  He II  , E1,      5*-35*    ,   5-35 , 1/2-9/2 - 1/2-69/2,  -1.9448,  28, 421353.16 - 438550.60, 007    ,      ,
5820.431   , 1.9e-02,  He II  , E1,      5*-34*    ,   5-34 , 1/2-9/2 - 1/2-67/2,  -1.9054,  28, 421353.16 - 438529.22, 007    ,      ,
5828.358   , 1.9e-02,  He II  , E1,      5*-33*    ,   5-33 , 1/2-9/2 - 1/2-65/2,  -1.8648,  28, 421353.16 - 438505.86, 007    ,      ,
5833.012   , 3.0e-02, [O III] , M2, 2s2.2p2-2s.2p3 ,  1S-5So,       0 - 2       , -18.0176,  12,  43185.74 -  60324.79, 039    ,      ,
5837.063   , 1.9e-02,  He II  , E1,      5*-32*    ,   5-32 , 1/2-9/2 - 1/2-63/2,  -1.8228,  28, 421353.16 - 438480.28, 007    ,      ,
5846.655   , 1.9e-02,  He II  , E1,      5*-31*    ,   5-31 , 1/2-9/2 - 1/2-61/2,  -1.7794,  28, 421353.16 - 438452.18, 007    ,      ,
5857.259   , 1.9e-02,  He II  , E1,      5*-30*    ,   5-30 , 1/2-9/2 - 1/2-59/2,  -1.7344,  28, 421353.16 - 438421.22, 007    ,      ,
5869.023   , 1.9e-02,  He II  , E1,      5*-29*    ,   5-29 , 1/2-9/2 - 1/2-57/2,  -1.6877,  28, 421353.16 - 438387.01, 007    ,      ,
5874.433868, 7.3e-07,  He I]  , E1,   1s.2p-1s.3d  , 3Po-1D ,       2 - 2       ,  -3.9525,  31, 169086.77 - 186104.97, 112    ,      ,
5874.460250, 7.3e-07,  He I]  , E1,   1s.2p-1s.3d  , 3Po-1D ,       1 - 2       ,  -3.4971,  31, 169086.84 - 186104.97, 112    ,      ,
5875.598696, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       2 - 1       ,  -1.5164,  31, 169086.77 - 186101.59, 112    ,      ,
5875.613960, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       2 - 2       ,  -0.3388,  31, 169086.77 - 186101.55, 112    ,      ,
5875.614828, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       2 - 3       ,   0.4087,  31, 169086.77 - 186101.55, 112    ,      ,
5875.625088, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       1 - 1       ,  -0.3388,  31, 169086.84 - 186101.59, 112    ,      ,
5875.640352, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       1 - 2       ,   0.1375,  31, 169086.84 - 186101.55, 112    ,      ,
5875.966263, 7.3e-07,  He I   , E1,   1s.2p-1s.3d  , 3Po-3D ,       0 - 1       ,  -0.2142,  31, 169087.83 - 186101.59, 112    ,      ,
5882.125   , 1.9e-02,  He II  , E1,      5*-28*    ,   5-28 , 1/2-9/2 - 1/2-55/2,  -1.6392,  28, 421353.16 - 438349.07, 007    ,      ,
5896.779   , 1.9e-02,  He II  , E1,      5*-27*    ,   5-27 , 1/2-9/2 - 1/2-53/2,  -1.5887,  28, 421353.16 - 438306.84, 007    ,      ,
5913.242   , 2.0e-02,  He II  , E1,      5*-26*    ,   5-26 , 1/2-9/2 - 1/2-51/2,  -1.5360,  28, 421353.16 - 438259.63, 007    ,      ,
5931.831   , 2.0e-02,  He II  , E1,      5*-25*    ,   5-25 , 1/2-9/2 - 1/2-49/2,  -1.4810,  28, 421353.16 - 438206.66, 007    ,      ,
5952.931   , 2.0e-02,  He II  , E1,      5*-24*    ,   5-24 , 1/2-9/2 - 1/2-47/2,  -1.4233,  28, 421353.16 - 438146.92, 007    ,      ,
5977.026   , 2.0e-02,  He II  , E1,      5*-23*    ,   5-23 , 1/2-9/2 - 1/2-45/2,  -1.3628,  28, 421353.16 - 438079.22, 007    ,      ,
6004.719   , 2.0e-02,  He II  , E1,      5*-22*    ,   5-22 , 1/2-9/2 - 1/2-43/2,  -1.2991,  28, 421353.16 - 438002.08, 007    ,      ,
6036.779   , 2.0e-02,  He II  , E1,      5*-21*    ,   5-21 , 1/2-9/2 - 1/2-41/2,  -1.2318,  28, 421353.16 - 437913.66, 007    ,      ,
6074.196   , 2.0e-02,  He II  , E1,      5*-20*    ,   5-20 , 1/2-9/2 - 1/2-39/2,  -1.1605,  28, 421353.16 - 437811.66, 007    ,      ,
6118.261   , 2.1e-02,  He II  , E1,      5*-19*    ,   5-19 , 1/2-9/2 - 1/2-37/2,  -1.0846,  28, 421353.16 - 437693.12, 007    ,      ,
6170.693   , 2.1e-02,  He II  , E1,      5*-18*    ,   5-18 , 1/2-9/2 - 1/2-35/2,  -1.0034,  28, 421353.16 - 437554.28, 007    ,      ,
6233.817   , 2.1e-02,  He II  , E1,      5*-17*    ,   5-17 , 1/2-9/2 - 1/2-33/2,  -0.9162,  28, 421353.16 - 437390.23, 007    ,      ,
6300.304   , 3.5e-03, [O I]   , M1, 2s2.2p4-2s2.2p4,  3P-1D ,       2 - 2       ,  -9.7148,  15,      0.00 -  15867.86, ASD    ,      , Em
6300.304   , 3.5e-03, [O I]   , E2, 2s2.2p4-2s2.2p4,  3P-1D ,       2 - 2       , -12.1374,  15,      0.00 -  15867.86, ASD    ,      , Em
6310.854   , 2.2e-02,  He II  , E1,      5*-16*    ,   5-16 , 1/2-9/2 - 1/2-31/2,  -0.8218,  28, 421353.16 - 437194.47, 007    ,      ,
6312.1     , 3.6e-01, [S III] , E2, 3s2.3p2-3s2.3p2,  1D-1S ,       2 - 0       ,  -7.8835,  19,  11322.70 -  27161.00, ASD    ,      ,
6363.776   , 3.6e-03, [O I]   , M1, 2s2.2p4-2s2.2p4,  3P-1D ,       1 - 2       , -10.1959,  15,    158.26 -  15867.86, ASD    ,      ,
6363.776   , 3.6e-03, [O I]   , E2, 2s2.2p4-2s2.2p4,  3P-1D ,       1 - 2       , -12.8717,  15,    158.26 -  15867.86, ASD    ,      ,
6391.733   , 3.6e-03, [O I]   , E2, 2s2.2p4-2s2.2p4,  3P-1D ,       0 - 2       , -13.7226,  15,    226.98 -  15867.86, ASD    ,      ,
6406.380   , 2.2e-02,  He II  , E1,      5*-15*    ,   5-15 , 1/2-9/2 - 1/2-29/2,  -0.7188,  28, 421353.16 - 436958.26, 007    ,      ,
6526.78363 , 2.7e-04, [Si I]  , M1, 3s2.3p2-3s2.3p2,  3P-1S ,       1 - 0       ,  -9.8087,  19,     77.11 -  15394.36, ASD    ,      ,
6527.099   , 2.3e-02,  He II  , E1,      5*-14*    ,   5-14 , 1/2-9/2 - 1/2-27/2,  -0.6055,  28, 421353.16 - 436669.65, 007    ,      ,
6527.24    , 6.0e-02, [N II]  , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       0 - 2       , -13.7751,  12,      0.00 -  15316.19, 030    ,      ,
6548.04    , 6.1e-02, [N II]  , M1, 2s2.2p2-2s2.2p2,  3P-1D ,       1 - 2       , -10.4996,  12,     48.67 -  15316.19, 030    ,      , Em
6548.04    , 6.1e-02, [N II]  , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       1 - 2       , -13.5278,  12,     48.67 -  15316.19, 030    ,      , Em
6560.10    , 4.3e-02,  He II  , E1,      4*-6*     ,   4-6  , 1/2-7/2 - 1/2-11/2,   0.7587,  28, 411477.95 - 426717.44, 007    ,      ,
6562.80    , 3.9e-02,  H I    , E1,      2*-3*     ,   2-3  , 1/2-3/2 - 1/2-5/2 ,   0.7100,  28,  82259.11 -  97492.31, 007    ,      ,
6583.46    , 6.1e-02, [N II]  , M1, 2s2.2p2-2s2.2p2,  3P-1D ,       2 - 2       , -10.0249,  12,    130.80 -  15316.19, 030    ,      , Em
6583.46    , 6.1e-02, [N II]  , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       2 - 2       , -12.5509,  12,    130.80 -  15316.19, 030    ,      , Em
6589.6140  , 2.8e-03, [Si I]  , E2, 3s2.3p2-3s2.3p2,  3P-1S ,       2 - 0       , -11.3493,  19,    223.16 -  15394.36, ASD    ,      ,
6662.576149, 3.0e-05,  He I   , E1,   1s.3s-1s.40p ,  3S-3Po,       1 - 0       ,  -5.0005,   1, 183236.79 - 198241.86, 112.084,      ,
6662.576195, 3.0e-05,  He I   , E1,   1s.3s-1s.40p ,  3S-3Po,       1 - 1       ,  -4.5232,   1, 183236.79 - 198241.86, 112.084,      ,
6662.576199, 3.0e-05,  He I   , E1,   1s.3s-1s.40p ,  3S-3Po,       1 - 2       ,  -4.3014,   1, 183236.79 - 198241.86, 112.084,      ,
6664.166304, 3.0e-05,  He I   , E1,   1s.3s-1s.39p ,  3S-3Po,       1 - 0       ,  -4.9671,   1, 183236.79 - 198238.28, 112.084,      ,
6664.166353, 3.0e-05,  He I   , E1,   1s.3s-1s.39p ,  3S-3Po,       1 - 1       ,  -4.4899,   1, 183236.79 - 198238.28, 112.084,      ,
6664.166357, 3.0e-05,  He I   , E1,   1s.3s-1s.39p ,  3S-3Po,       1 - 2       ,  -4.2681,   1, 183236.79 - 198238.28, 112.084,      ,
6665.884726, 3.0e-05,  He I   , E1,   1s.3s-1s.38p ,  3S-3Po,       1 - 0       ,  -4.9329,   1, 183236.79 - 198234.41, 112.084,      ,
6665.884779, 3.0e-05,  He I   , E1,   1s.3s-1s.38p ,  3S-3Po,       1 - 1       ,  -4.4557,   1, 183236.79 - 198234.41, 112.084,      ,
6665.884783, 3.0e-05,  He I   , E1,   1s.3s-1s.38p ,  3S-3Po,       1 - 2       ,  -4.2339,   1, 183236.79 - 198234.41, 112.084,      ,
6667.745618, 3.0e-05,  He I   , E1,   1s.3s-1s.37p ,  3S-3Po,       1 - 0       ,  -4.8978,   1, 183236.79 - 198230.22, 112.084,      ,
6667.745676, 3.0e-05,  He I   , E1,   1s.3s-1s.37p ,  3S-3Po,       1 - 1       ,  -4.4206,   1, 183236.79 - 198230.22, 112.084,      ,
6667.745680, 3.0e-05,  He I   , E1,   1s.3s-1s.37p ,  3S-3Po,       1 - 2       ,  -4.1987,   1, 183236.79 - 198230.22, 112.084,      ,
6669.765206, 3.0e-05,  He I   , E1,   1s.3s-1s.36p ,  3S-3Po,       1 - 0       ,  -4.8617,   1, 183236.79 - 198225.68, 112.084,      ,
6669.765269, 3.0e-05,  He I   , E1,   1s.3s-1s.36p ,  3S-3Po,       1 - 1       ,  -4.3845,   1, 183236.79 - 198225.68, 112.084,      ,
6669.765274, 3.0e-05,  He I   , E1,   1s.3s-1s.36p ,  3S-3Po,       1 - 2       ,  -4.1627,   1, 183236.79 - 198225.68, 112.084,      ,
6671.962099, 3.0e-05,  He I   , E1,   1s.3s-1s.35p ,  3S-3Po,       1 - 0       ,  -4.8246,   1, 183236.79 - 198220.75, 112.084,      ,
6671.962168, 3.0e-05,  He I   , E1,   1s.3s-1s.35p ,  3S-3Po,       1 - 1       ,  -4.3474,   1, 183236.79 - 198220.75, 112.084,      ,
6671.962173, 3.0e-05,  He I   , E1,   1s.3s-1s.35p ,  3S-3Po,       1 - 2       ,  -4.1255,   1, 183236.79 - 198220.75, 112.084,      ,
6674.357723, 3.0e-05,  He I   , E1,   1s.3s-1s.34p ,  3S-3Po,       1 - 0       ,  -4.7864,   1, 183236.79 - 198215.37, 112.084,      ,
6674.357798, 3.0e-05,  He I   , E1,   1s.3s-1s.34p ,  3S-3Po,       1 - 1       ,  -4.3092,   1, 183236.79 - 198215.37, 112.084,      ,
6674.357805, 3.0e-05,  He I   , E1,   1s.3s-1s.34p ,  3S-3Po,       1 - 2       ,  -4.0873,   1, 183236.79 - 198215.37, 112.084,      ,
6676.976847, 3.0e-05,  He I   , E1,   1s.3s-1s.33p ,  3S-3Po,       1 - 0       ,  -4.7470,   1, 183236.79 - 198209.50, 112.084,      ,
6676.976930, 3.0e-05,  He I   , E1,   1s.3s-1s.33p ,  3S-3Po,       1 - 1       ,  -4.2698,   1, 183236.79 - 198209.50, 112.084,      ,
6676.976936, 3.0e-05,  He I   , E1,   1s.3s-1s.33p ,  3S-3Po,       1 - 2       ,  -4.0480,   1, 183236.79 - 198209.50, 112.084,      ,
6678.151703, 3.0e-06,  He I   , E1,   1s.2p-1s.3d  , 1Po-1D ,       1 - 2       ,   0.3285,  31, 171134.90 - 186104.97, 112    ,      ,
6679.676833, 3.0e-06,  He I]  , E1,   1s.2p-1s.3d  , 1Po-3D ,       1 - 2       ,  -3.2964,  31, 171134.90 - 186101.55, 112    ,      ,
6679.848233, 3.0e-05,  He I   , E1,   1s.3s-1s.32p ,  3S-3Po,       1 - 0       ,  -4.7064,   1, 183236.79 - 198203.06, 112.084,      ,
6679.848323, 3.0e-05,  He I   , E1,   1s.3s-1s.32p ,  3S-3Po,       1 - 1       ,  -4.2292,   1, 183236.79 - 198203.06, 112.084,      ,
6679.848330, 3.0e-05,  He I   , E1,   1s.3s-1s.32p ,  3S-3Po,       1 - 2       ,  -4.0074,   1, 183236.79 - 198203.06, 112.084,      ,
6683.005434, 3.0e-05,  He I   , E1,   1s.3s-1s.31p ,  3S-3Po,       1 - 0       ,  -4.6645,   1, 183236.79 - 198195.99, 112.084,      ,
6683.005533, 3.0e-05,  He I   , E1,   1s.3s-1s.31p ,  3S-3Po,       1 - 1       ,  -4.1873,   1, 183236.79 - 198195.99, 112.084,      ,
6683.005541, 3.0e-05,  He I   , E1,   1s.3s-1s.31p ,  3S-3Po,       1 - 2       ,  -3.9654,   1, 183236.79 - 198195.99, 112.084,      ,
6683.201   , 2.4e-02,  He II  , E1,      5*-13*    ,   5-13 , 1/2-9/2 - 1/2-25/2,  -0.4794,  28, 421353.16 - 436311.90, 007    ,      ,
6686.487790, 3.0e-05,  He I   , E1,   1s.3s-1s.30p ,  3S-3Po,       1 - 0       ,  -4.6212,   1, 183236.79 - 198188.20, 112.084,      ,
6686.487900, 3.0e-05,  He I   , E1,   1s.3s-1s.30p ,  3S-3Po,       1 - 1       ,  -4.1440,   1, 183236.79 - 198188.20, 112.084,      ,
6686.487909, 3.0e-05,  He I   , E1,   1s.3s-1s.30p ,  3S-3Po,       1 - 2       ,  -3.9221,   1, 183236.79 - 198188.20, 112.084,      ,
6690.341672, 3.0e-05,  He I   , E1,   1s.3s-1s.29p ,  3S-3Po,       1 - 0       ,  -4.5764,   1, 183236.79 - 198179.59, 112.084,      ,
6690.341794, 3.0e-05,  He I   , E1,   1s.3s-1s.29p ,  3S-3Po,       1 - 1       ,  -4.0992,   1, 183236.79 - 198179.59, 112.084,      ,
6690.341804, 3.0e-05,  He I   , E1,   1s.3s-1s.29p ,  3S-3Po,       1 - 2       ,  -3.8773,   1, 183236.79 - 198179.59, 112.084,      ,
6694.622047, 3.0e-05,  He I   , E1,   1s.3s-1s.28p ,  3S-3Po,       1 - 0       ,  -4.5300,   1, 183236.79 - 198170.03, 112.084,      ,
6694.622182, 3.0e-05,  He I   , E1,   1s.3s-1s.28p ,  3S-3Po,       1 - 1       ,  -4.0528,   1, 183236.79 - 198170.03, 112.084,      ,
6694.622193, 3.0e-05,  He I   , E1,   1s.3s-1s.28p ,  3S-3Po,       1 - 2       ,  -3.8309,   1, 183236.79 - 198170.03, 112.084,      ,
6699.394473, 3.0e-05,  He I   , E1,   1s.3s-1s.27p ,  3S-3Po,       1 - 0       ,  -4.4819,   1, 183236.79 - 198159.39, 112.084,      ,
6699.394623, 3.0e-05,  He I   , E1,   1s.3s-1s.27p ,  3S-3Po,       1 - 1       ,  -4.0047,   1, 183236.79 - 198159.39, 112.084,      ,
6699.394636, 3.0e-05,  He I   , E1,   1s.3s-1s.27p ,  3S-3Po,       1 - 2       ,  -3.7828,   1, 183236.79 - 198159.39, 112.084,      ,
6704.737653, 3.0e-05,  He I   , E1,   1s.3s-1s.26p ,  3S-3Po,       1 - 0       ,  -4.4319,   1, 183236.79 - 198147.50, 112.084,      ,
6704.737822, 3.0e-05,  He I   , E1,   1s.3s-1s.26p ,  3S-3Po,       1 - 1       ,  -3.9547,   1, 183236.79 - 198147.50, 112.084,      ,
6704.737836, 3.0e-05,  He I   , E1,   1s.3s-1s.26p ,  3S-3Po,       1 - 2       ,  -3.7328,   1, 183236.79 - 198147.50, 112.084,      ,
6710.746746, 3.0e-05,  He I   , E1,   1s.3s-1s.25p ,  3S-3Po,       1 - 0       ,  -4.3800,   1, 183236.79 - 198134.15, 112.084,      ,
6710.746936, 3.0e-05,  He I   , E1,   1s.3s-1s.25p ,  3S-3Po,       1 - 1       ,  -3.9027,   1, 183236.79 - 198134.15, 112.084,      ,
6710.746952, 3.0e-05,  He I   , E1,   1s.3s-1s.25p ,  3S-3Po,       1 - 2       ,  -3.6809,   1, 183236.79 - 198134.15, 112.084,      ,
6716.44    , 4.0e-02, [S II]  , M1, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 5/2     , -12.2472,  22,      0.00 -  14884.73, ASD    ,      , Em
6716.44    , 4.0e-02, [S II]  , E2, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 5/2     , -11.1164,  22,      0.00 -  14884.73, ASD    ,      , Em
6717.537690, 3.0e-05,  He I   , E1,   1s.3s-1s.24p ,  3S-3Po,       1 - 0       ,  -4.3258,   1, 183236.79 - 198119.09, 112.084,      ,
6717.537906, 3.0e-05,  He I   , E1,   1s.3s-1s.24p ,  3S-3Po,       1 - 1       ,  -3.8486,   1, 183236.79 - 198119.09, 112.084,      ,
6717.537924, 3.0e-05,  He I   , E1,   1s.3s-1s.24p ,  3S-3Po,       1 - 2       ,  -3.6267,   1, 183236.79 - 198119.09, 112.084,      ,
6725.252922, 3.0e-05,  He I   , E1,   1s.3s-1s.23p ,  3S-3Po,       1 - 0       ,  -4.2693,   1, 183236.79 - 198102.02, 112.084,      ,
6725.253168, 3.0e-05,  He I   , E1,   1s.3s-1s.23p ,  3S-3Po,       1 - 1       ,  -3.7921,   1, 183236.79 - 198102.02, 112.084,      ,
6725.253188, 3.0e-05,  He I   , E1,   1s.3s-1s.23p ,  3S-3Po,       1 - 2       ,  -3.5702,   1, 183236.79 - 198102.02, 112.084,      ,
6730.82    , 4.0e-02, [S II]  , M1, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 3/2     , -10.8148,  22,      0.00 -  14852.94, ASD    ,      , Em
6730.82    , 4.0e-02, [S II]  , E2, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 3/2     , -11.4833,  22,      0.00 -  14852.94, ASD    ,      , Em
6734.069032, 3.0e-05,  He I   , E1,   1s.3s-1s.22p ,  3S-3Po,       1 - 0       ,  -4.2102,   1, 183236.79 - 198082.56, 112.084,      ,
6734.069313, 3.0e-05,  He I   , E1,   1s.3s-1s.22p ,  3S-3Po,       1 - 1       ,  -3.7330,   1, 183236.79 - 198082.56, 112.084,      ,
6734.069336, 3.0e-05,  He I   , E1,   1s.3s-1s.22p ,  3S-3Po,       1 - 2       ,  -3.5111,   1, 183236.79 - 198082.56, 112.084,      ,
6744.20713 , 3.1e-05,  He I   , E1,   1s.3s-1s.21p ,  3S-3Po,       1 - 0       ,  -4.1483,   1, 183236.79 - 198060.24, 112.084,      ,
6744.20746 , 3.1e-05,  He I   , E1,   1s.3s-1s.21p ,  3S-3Po,       1 - 1       ,  -3.6710,   1, 183236.79 - 198060.24, 112.084,      ,
6744.20749 , 3.1e-05,  He I   , E1,   1s.3s-1s.21p ,  3S-3Po,       1 - 2       ,  -3.4492,   1, 183236.79 - 198060.24, 112.084,      ,
6755.94715 , 3.1e-05,  He I   , E1,   1s.3s-1s.20p ,  3S-3Po,       1 - 0       ,  -4.0833,   1, 183236.79 - 198034.48, 112.084,      ,
6755.94753 , 3.1e-05,  He I   , E1,   1s.3s-1s.20p ,  3S-3Po,       1 - 1       ,  -3.6060,   1, 183236.79 - 198034.48, 112.084,      ,
6755.94756 , 3.1e-05,  He I   , E1,   1s.3s-1s.20p ,  3S-3Po,       1 - 2       ,  -3.3842,   1, 183236.79 - 198034.48, 112.084,      ,
6769.64773 , 3.1e-05,  He I   , E1,   1s.3s-1s.19p ,  3S-3Po,       1 - 0       ,  -4.0148,   1, 183236.79 - 198004.53, 112.084,      ,
6769.64818 , 3.1e-05,  He I   , E1,   1s.3s-1s.19p ,  3S-3Po,       1 - 1       ,  -3.5376,   1, 183236.79 - 198004.53, 112.084,      ,
6769.64821 , 3.1e-05,  He I   , E1,   1s.3s-1s.19p ,  3S-3Po,       1 - 2       ,  -3.3157,   1, 183236.79 - 198004.53, 112.084,      ,
6785.77467 , 3.1e-05,  He I   , E1,   1s.3s-1s.18p ,  3S-3Po,       1 - 0       ,  -3.9425,   1, 183236.79 - 197969.44, 112.084,      ,
6785.77519 , 3.1e-05,  He I   , E1,   1s.3s-1s.18p ,  3S-3Po,       1 - 1       ,  -3.4653,   1, 183236.79 - 197969.44, 112.084,      ,
6785.77523 , 3.1e-05,  He I   , E1,   1s.3s-1s.18p ,  3S-3Po,       1 - 2       ,  -3.2434,   1, 183236.79 - 197969.44, 112.084,      ,
6804.94199 , 3.1e-05,  He I   , E1,   1s.3s-1s.17p ,  3S-3Po,       1 - 0       ,  -3.8659,   1, 183236.79 - 197927.94, 112.084,      ,
6804.94262 , 3.1e-05,  He I   , E1,   1s.3s-1s.17p ,  3S-3Po,       1 - 1       ,  -3.3886,   1, 183236.79 - 197927.94, 112.084,      ,
6804.94267 , 3.1e-05,  He I   , E1,   1s.3s-1s.17p ,  3S-3Po,       1 - 2       ,  -3.1668,   1, 183236.79 - 197927.94, 112.084,      ,
6827.97305 , 3.1e-05,  He I   , E1,   1s.3s-1s.16p ,  3S-3Po,       1 - 0       ,  -3.7844,   1, 183236.79 - 197878.39, 112.084,      ,
6827.97380 , 3.1e-05,  He I   , E1,   1s.3s-1s.16p ,  3S-3Po,       1 - 1       ,  -3.3072,   1, 183236.79 - 197878.38, 112.084,      ,
6827.97386 , 3.1e-05,  He I   , E1,   1s.3s-1s.16p ,  3S-3Po,       1 - 2       ,  -3.0853,   1, 183236.79 - 197878.38, 112.084,      ,
6855.99329 , 3.2e-05,  He I   , E1,   1s.3s-1s.15p ,  3S-3Po,       1 - 0       ,  -3.6974,   1, 183236.79 - 197818.55, 112.084,      ,
6855.99422 , 3.2e-05,  He I   , E1,   1s.3s-1s.15p ,  3S-3Po,       1 - 1       ,  -3.2202,   1, 183236.79 - 197818.54, 112.084,      ,
6855.99429 , 3.2e-05,  He I   , E1,   1s.3s-1s.15p ,  3S-3Po,       1 - 2       ,  -2.9984,   1, 183236.79 - 197818.54, 112.084,      ,
6890.57552 , 3.2e-05,  He I   , E1,   1s.3s-1s.14p ,  3S-3Po,       1 - 0       ,  -3.6041,   1, 183236.79 - 197745.36, 112.084,      ,
6890.57667 , 3.2e-05,  He I   , E1,   1s.3s-1s.14p ,  3S-3Po,       1 - 1       ,  -3.1269,   1, 183236.79 - 197745.36, 112.084,      ,
6890.57676 , 3.2e-05,  He I   , E1,   1s.3s-1s.14p ,  3S-3Po,       1 - 2       ,  -2.9050,   1, 183236.79 - 197745.36, 112.084,      ,
6890.899   , 2.5e-02,  He II  , E1,      5*-12*    ,   5-12 , 1/2-9/2 - 1/2-23/2,  -0.3368,  28, 421353.16 - 435861.03, 007    ,      ,
6933.97478 , 3.2e-05,  He I   , E1,   1s.3s-1s.13p ,  3S-3Po,       1 - 0       ,  -3.5035,   1, 183236.79 - 197654.56, 112.084,      ,
6933.97624 , 3.2e-05,  He I   , E1,   1s.3s-1s.13p ,  3S-3Po,       1 - 1       ,  -3.0263,   1, 183236.79 - 197654.55, 112.084,      ,
6933.97636 , 3.2e-05,  He I   , E1,   1s.3s-1s.13p ,  3S-3Po,       1 - 2       ,  -2.8044,   1, 183236.79 - 197654.55, 112.084,      ,
6989.52340 , 3.3e-05,  He I   , E1,   1s.3s-1s.12p ,  3S-3Po,       1 - 0       ,  -3.3942,   1, 183236.79 - 197539.97, 112.084,      ,
6989.52529 , 3.3e-05,  He I   , E1,   1s.3s-1s.12p ,  3S-3Po,       1 - 1       ,  -2.9170,   1, 183236.79 - 197539.97, 112.084,      ,
6989.52544 , 3.3e-05,  He I   , E1,   1s.3s-1s.12p ,  3S-3Po,       1 - 2       ,  -2.6951,   1, 183236.79 - 197539.97, 112.084,      ,
