#Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
#Radial velocity: 0 km/s
#Wavelength accuracy upper limit: 5%
#Element/Spectrum: H I, He I-II, O I-IV, C I-IV, Ne I-III, Fe I-III, N I-IV, Si I-IV, Mg I-IV, S I-IV, V I-II, Cr I-II, Ni I-II, Sc I-II, Ti I-II, Ca I-II, Na I-II
#Minimum line strength: -0.5 Type: log(gf)
#Include lines without atomic data: false
#Minimum abundance: no minimum
#Lower level energy range: no restrictions   Unit: cm^-1
#Upper level energy range: no restrictions
#Maximum for principal quantum number n: no restrictions
#Transition types included: E1
#Transitions from auto-ionizing levels: included
wl_air, spc, -lg(gf), tpf, ref
3941.23,	N II,	0.6586,		3,	030
3944.1056,	Ni I,	-0.3429,	30,	095
3944.197,	C II,	-0.3419,	24,	ASD
3945.0,		C II,	-0.1365,	24,	ASD
3945.232,	C II,	-0.0297,	24,	ASD
3945.768,	Fe III,	-0.4145,	30,	ASD
3946.263,	C II,	0.0486,		24,	ASD
3946.49,	N II,	-0.0076,	3,	030
3946.94,	N II,	-0.1679,	3,	030
3947.0,		Fe III,	-0.2557,	30,	ASD
3947.7,		C II,	0.1695,		24,	ASD
3948.012,	O III,	-0.2118,	3,	039
3948.09726,	Fe I,	-0.2534,	30,	061
3948.331,	C II,	0.2234,		24,	ASD
3948.6707,	Ti I,	-0.4681,	ASD,	ASD
3948.7749,	Fe I,	-0.3343,	ASD,	061
3949.364,	C II,	-0.367,		24,	ASD
3952.057,	C II,	0.7102,		24,	ASD
3952.69,	C II,	-0.4766,	24,	ASD
3954.311,	Fe III,	0.5911,		30,	ASD
3954.338,	Fe III,	-0.1891,	30,	ASD
3954.3617,	O II,	-0.4016,	15,	ASD
3954.382,	Fe III,	-0.0,		30,	ASD
3956.45504,	Fe I,	-0.2657,	ASD,	061
3956.6766,	Fe I,	-0.3261,	30,	061
3956.898,	Ne III,	-0.2005,	3,	008
3957.01804,	Fe I,	-0.3645,	30,	061
3959.909,	Ne III,	-0.0868,	3,	008
3961.573,	O III,	0.3231,		12,	039
3963.10045,	Fe I,	-0.4976,	30,	061
3963.688,	Cr I,	0.6623,		ASD,	ASD
3964.347,	Fe III,	-0.224,		30,	ASD
3964.683,	Fe III,	-0.0119,	30,	ASD
3965.9155,	Fe I,	-0.3354,	30,	061
3966.62771,	Fe I,	-0.3169,	30,	061
3967.4208,	Fe I,	-0.4201,	ASD,	061
3968.469,	Ca II,	-0.191,		3,	ASD
3968.718,	Fe III,	0.3075,		30,	ASD
3969.25707,	Fe I,	-0.4197,	ASD,	061
3969.494,	Fe III,	0.1004,		30,	ASD
3969.743,	Cr I,	0.5668,		ASD,	ASD
3970.38,	C II,	-0.413,		24,	ASD
3970.4845,	Ni I,	-0.1952,	30,	095
3970.511,	Fe III,	-0.4881,	30,	ASD
3971.131,	Fe III,	0.3541,		30,	ASD
3971.314,	O III,	-0.4372,	3,	039
3972.447,	C II,	-0.1849,	24,	ASD
3972.768,	Ne III,	-0.146,		3,	008
3973.256,	O II,	0.0038,		15,	ASD
3973.775,	C II,	-0.0799,	24,	ASD
3974.366,	Fe III,	-0.1451,	30,	ASD
3974.6272,	Ni I,	-0.2449,	30,	095
3974.864,	Ne III,	0.7395,		3,	008
3975.92,	C II,	-0.4721,	24,	ASD
3977.25,	C II,	0.3118,		24,	ASD
3978.399,	Fe III,	-0.1152,	30,	ASD
3978.711,	C II,	-0.3653,	24,	ASD
3978.855,	C II,	-0.0503,	24,	ASD
3979.421,	Fe III,	-0.007,		30,	ASD
3979.825,	S II,	-0.283,		3,	ASD
3980.092,	Fe III,	-0.3585,	30,	ASD
3980.317,	C II,	0.7718,		24,	ASD
3981.7606,	Ti I,	-0.3496,	ASD,	ASD
3983.896,	Cr I,	0.3522,		ASD,	ASD
3989.7589,	Ti I,	-0.1983,	ASD,	ASD
3990.908,	S II,	-0.2838,	3,	ASD
3991.107,	Cr I,	0.2528,		ASD,	ASD
3992.792,	V I,	0.4578,		ASD,	ASD
3993.6155,	Fe I,	-0.2668,	30,	061
3994.997,	N II,	0.163,		12,	030
3995.8617,	Fe I,	-0.2676,	30,	061
3997.39202,	Fe I,	-0.4029,	ASD,	061
3998.63,	N III,	0.4025,		3,	ASD
3998.6358,	Ti I,	-0.0552,	ASD,	ASD
3998.721,	V I,	0.4591,		ASD,	ASD
3998.759,	S II,	0.016,		3,	ASD
3999.325,	Fe III,	-0.3439,	30,	ASD
3999.78,	Fe III,	0.2553,		30,	ASD
3999.885,	Fe III,	0.2279,		30,	ASD
4000.518,	Fe III,	-0.382,		30,	ASD
4000.767,	Fe III,	0.3838,		30,	ASD
4001.446,	Cr I,	0.2544,		ASD,	ASD
4003.227,	Fe III,	0.5211,		30,	ASD
4003.554,	Fe III,	-0.2882,	30,	ASD
4003.58,	N III,	0.5568,		3,	ASD
4005.706,	V II,	-0.4632,	ASD,	ASD
4008.763,	Fe III,	0.6693,		30,	ASD
4009.217,	Fe III,	-0.3556,	30,	ASD
4020.392,	Sc I,	0.1989,		ASD,	ASD
4023.677,	Sc I,	0.381,		ASD,	ASD
4028.75,	S II,	0.0095,		3,	ASD
4032.768,	S II,	0.1884,		3,	ASD
4035.425,	Fe III,	0.1004,		30,	ASD
4039.083,	Cr I,	0.3908,		ASD,	ASD
4041.6491,	Fe I,	-0.3585,	30,	061
4045.81209,	Fe I,	0.2804,		ASD,	061
4048.787,	Cr I,	0.3109,		ASD,	ASD
4051.347,	V I,	0.5844,		ASD,	ASD
4052.048,	Fe III,	-0.2676,	30,	ASD
4052.514,	Fe III,	0.1004,		30,	ASD
4052.697,	Fe III,	-0.4948,	30,	ASD
4053.112,	Fe III,	0.2405,		30,	ASD
4056.061,	C III,	0.2651,		U3,	ASD
4057.76,	N IV,	-0.088,		9,	ASD
4058.76,	Cr I,	0.2604,		ASD,	ASD
4059.36,	C III,	-0.193,		u3,	ASD070
4059.421,	Fe III,	-0.4168,	30,	ASD
4060.008,	Fe III,	-0.4067,	30,	ASD
4061.728,	Fe III,	0.2279,		30,	ASD
4062.38,	Fe III,	-0.3019,	30,	ASD
4063.59382,	Fe I,	0.0715,		ASD,	061
4065.253,	Fe III,	-0.4698,	30,	ASD
4065.696,	Cr I,	-0.0202,	ASD,	ASD
4065.974,	Fe III,	-0.2299,	30,	ASD
4067.94,	C III,	0.7181,		3,	ASD
4068.916,	C III,	-0.3399,	3,	ASD
4068.916,	C III,	0.8361,		3,	ASD
4069.205,	Fe III,	-0.1373,	30,	ASD
4069.623,	O II,	0.1443,		15,	ASD
4069.8819,	O II,	0.3515,		15,	ASD
4070.26,	C III,	0.9512,		3,	ASD
4070.306,	C III,	-0.3401,	3,	ASD
4071.704,	Fe III,	0.2989,		30,	ASD
4071.73785,	Fe I,	-0.0217,	ASD,	061
4072.1525,	O II,	0.5326,		15,	ASD
4073.984,	O III,	-0.2477,	3,	039
4074.48,	C II,	0.5102,		24,	ASD
4074.543,	C II,	0.9907,		24,	ASD
4074.59,	Fe III,	-0.2343,	30,	ASD
4074.841,	C II,	1.2339,		24,	ASD
4075.4,		C II,	0.405,		24,	ASD
4075.852,	C II,	1.6518,		24,	ASD
4075.8617,	O II,	0.6864,		15,	ASD
4075.94,	C II,	0.6675,		24,	ASD
4076.525,	C II,	0.5762,		24,	ASD
4076.62906,	Fe I,	-0.091,		30,	061
4078.8424,	O II,	-0.2869,	15,	ASD
4081.007,	Fe III,	0.3579,		30,	ASD
4081.02,	O III,	0.0226,		3,	039
4081.5665,	Fe I,	-0.1806,	ASD,	061
4082.484,	Fe III,	0.3674,		30,	ASD
4084.49169,	Fe I,	-0.3487,	30,	061
4084.829,	Fe III,	-0.2027,	30,	ASD
4085.1124,	O II,	-0.1912,	15,	ASD
4086.586,	Fe III,	-0.1337,	30,	ASD
4088.713,	Fe III,	-0.0159,	30,	ASD
4088.862,	Si IV,	0.1937,		7,	ASD
4089.157,	Fe III,	0.2201,		30,	ASD
4089.941,	Fe III,	0.0253,		30,	ASD
4090.575,	V I,	0.3291,		ASD,	ASD
4090.974,	Fe III,	0.0374,		30,	ASD
4092.275,	Fe III,	0.0969,		30,	ASD
4092.617,	Fe III,	-0.122,		30,	ASD
4092.682,	V I,	-0.2382,	ASD,	ASD
4092.9287,	O II,	-0.3247,	15,	ASD
4093.057,	Fe III,	0.1818,		30,	ASD
4093.232,	Fe III,	0.3997,		30,	ASD
4093.644,	Fe III,	-0.064,		30,	ASD
4094.347,	Fe III,	-0.0101,	30,	ASD
4094.9253,	Ca I,	-0.4216,	3,	ASD
4095.256,	Fe III,	0.2201,		30,	ASD
4095.37,	Fe III,	0.4654,		30,	ASD
4095.474,	V I,	0.1611,		ASD,	ASD
4095.843,	Fe III,	-0.1512,	30,	ASD
4096.565,	Fe III,	0.3838,		30,	ASD
4097.36,	N III,	-0.0566,	10,	ASD
4097.564,	Fe III,	0.301,		30,	ASD
4097.582,	Fe III,	0.3075,		30,	ASD
4098.5282,	Ca I,	-0.2617,	3,	ASD
4099.777,	V I,	-0.0825,	ASD,	ASD
4100.475,	Fe III,	0.2201,		30,	ASD
4102.149,	V I,	0.0315,		ASD,	ASD
4103.034,	Fe III,	-0.2741,	30,	ASD
4103.39,	N III,	-0.3583,	10,	ASD
